no,uclu,baslik,turkce_aciklama
56,"TR,DF_YO_MEZUN_BEYIN_GOCU_ORAN,1.0",Brain drain rate of higher education graduates by sex,Cinsiyete göre yükseköğretim mezunlarının beyin göçü oranı nı içerir.
57,"TR,DF_DOLAYL_ARGE_MERKEZI_YONETIM_BUTCE,1.0",Central government budget appropriations and outlays on  R&D,Merkezi yönetim bütçesinden Ar-Ge faaliyetleri için ayrılan ödenek ve harcamalar
58,"TR,DF_MERKEZ_YONETM_BUTCE_SOSYO_EKONOMK_HEDEF,1.0",Central government budget appropriations and outlays on R&D by socio-economic objectives (TRY),Sosyo-ekonomik Hedeflere göre merkezi yönetim bütçesinden Ar-Ge faaliyetleri için ayrılan ödenek ve harcamaları kapsamaktadır.
59,"TR,DF_TAMAMLAMA_ORAN,1.0",Completion rate by education level and sex,Eğitim seviyesi ve cinsiyete göre tamamlama oranını içerir.
60,"TR,DF_UFE_INSAAT_V1,1.0",Construction Cost Index and Rate of Change [2015=100],İnşaat Maliyet Endeksi ve Değişim Oranları [2015=100]
61,"TR,DF_INSAAT_URETIM_ENDEKS_V1_O,1.0",Construction Production Index [2021=100]-Revision History,"İnşaat Üretim Endeksi ve Değişim Oranları (2021=100) verileri, inşaat üretim endeksi ve değişim oranlarını içermektedir. Aylık değişim oranları mevsim ve takvim etkisinden arındırılmış endeks serileri üzerinden hesaplanırken yıllık değişim oranları takvim etkisinden arındırılmış endeks serileri ile hesaplanır. 2021=100 temel yıllı olarak hesaplanan inşaat üretim endeksi inşaat üretimindeki değişimleri takip etmek için kullanılmaktadır. İnşaat Üretim Endeksi ve Değişim Oranları (2021=100) verileri, inşaat üretim endeksi ve değişim oranlarını içermektedir. Aylık değişim oranları mevsim ve takvim etkisinden arındırılmış endeks serileri üzerinden hesaplanırken yıllık değişim oranları takvim etkisinden arındırılmış endeks serileri ile hesaplanır. 2021=100 temel yıllı olarak hesaplanan inşaat üretim endeksi inşaat üretimindeki değişimleri takip etmek için kullanılmaktadır."
62,"TR,DF_TUFE_SDMX_TT03,1.0",Consumer Price Index (CPI) annual and monthly rates of change by main expenditure groups and their contribution to the overall index change,TÜFE ana harcama gruplarının yıllık ve aylık değişim oranları ve genel endeks değişimine katkıları
63,"TR,DF_TUFE_SDMX_TT01,1.0",Consumer price index (CPI) and rates of change by main expenditure groups,Ana harcama gruplarına göre tüketici fiyat endeksi (TÜFE) ve değişim oranları
64,"TR,DF_TUFE_SDMX_TT02,1.0",Consumer price index (CPI) monthly and annual rates of change according to the Classification of Individual Consumption by Purpose (COICOP 2018) by subclasses,COICOP 2018 alt sınıflarına göre TÜFE aylık ve yıllık değişim oranları
65,"TR,DF_TUFE_SDMX_TT07,1.0",Consumer price index average prices of selected items,Tüketici fiyat endeksi seçilmiş maddelere ait ortalama fiyatlar
