no,uclu,baslik,turkce_aciklama
323,"TR,DF_DIJITAL_OYUN_DUSUNCE_T__8,1.0",Proportion of children using ICT products for their own use alone by sex and age group,Cinsiyete ve yaş grubuna göre düzenli dijital oyun oynayan çocukların dijital oyun oynama konusundaki düşünceleri
324,"TR,DF_COCUKLARDA_BLISIM_TEKNOLOJILERI_T4,1.0",Proportion of children using social media platforms by sex and age group,Cinsiyete ve yaş grubuna göre çocukların sosyal medya platformlarını kullanım oranı
325,"TR,DF_BILISIM_UZMAN,1.0",Proportion of enterprises employing ICT/IT specialists by size group (%),Büyüklük grubuna göre bilgi ve iletişim uzmanı istihdam eden girişimlerin oranını içerir.
326,"TR,DF_WEB_SITE_SAHIP_GIRISIM_ORAN,1.0",Proportion of enterprises having website by economic activity and size group,Ekonomik faaliyet ve büyüklük grubuna göre web sitesi sahibi girişimlerin oranını içerir.
327,"TR,DF_WEB_SITE_SAHIP_GIRISIM_ORAN_V1,1.0",Proportion of enterprises having website by economic activity and size group,Ekonomik faaliyet ve büyüklük grubuna göre web sitesi sahibi girişimlerin oranını içerir.
328,"TR,DF_BILISIM_UZMAN_ALIM,1.0",Proportion of enterprises recruited or tried to recruit ICT/IT specialists and having difficulties to fill vacancies by size group (%),Büyüklük grubuna göre bilgi ve iletişim uzmanı işe alan veya almayı deneyen ve alım sürecinde güçlükle karşılaşan girişimlerin oranı içerir.
329,"TR,DF_BUY_GRUP_WEB_SATIS,1.0",Proportion of enterprises that had web sales by size group,Büyüklük grubuna göre web satışı yapan girişimlerin oranını içerir.
330,"TR,DF_BUY_GRUP_EKO_FAALIYET,1.0",Proportion of enterprises that had web sales or EDI type sales by economic activity and size group,Ekonomik faaliyete ve büyüklük grubuna göre sosyal medya uygulamalarını kullanan girişimlerin oranını içerir.
331,"TR,DF_BUY_GRUP_EKO_FAAL_MAL_HIZMET_SATIS,1.0",Proportion of enterprises that had web sales or EDI type sales which use computers (%),Ekonomik faaliyet ve büyüklük grubuna göre web sitesi ya da mobil uygulamalar üzerinden veya elektronik veri alışverişi ile mal/hizmet satışı yapan girişimlerin oranını içerir.
332,"TR,DF_BUY_GRUP_EKO_FAAL_MAL_HIZMET_SATIS_V1,1.0",Proportion of enterprises that had web sales or EDI type sales which use computers (Nace Rev 2 .1)(%),Ekonomik faaliyet ve büyüklük grubuna göre web sitesi ya da mobil uygulamalar üzerinden veya elektronik veri alışverişi ile mal/hizmet satışı yapan girişimlerin oranını içerir.
333,"TR,DF_BUY_GRUP_BULUT_BILISIM,1.0",Proportion of enterprises using cloud computing services by size group (%),Büyüklük grubuna göre ücretli bulut bilişim uygulaması kullanan girişimlerin oranı içermektedir.
334,"TR,DF_BUY_GRUP_EKO_FAALIYET_V1,1.0",Proportion of enterprises using social media by economic activity and size group (Nace Rev 2 .1)(%),Ekonomik faaliyete ve büyüklük grubuna göre sosyal medya uygulamalarını kullanan girişimlerin oranı
335,"TR,DF_INTERNET_ERISIM_SAHIP,1.0","Proportion of enterprises with internet access by economic activity, size group and type of broadband connection (%)","Ekonomik faaliyete, büyüklük grubuna ve genişbant bağlantı türüne göre internet erişimine sahip girişimlerin oranını içerir."
336,"TR,DF_INTERNET_ERISIM_SAHIP_V1,1.0","Proportion of enterprises with internet access by economic activity, size group and type of broadband connection (Nace Rev 2 .1)(%)","Ekonomik faaliyete, büyüklük grubuna ve genişbant bağlantı türüne göre internet erişimine sahip girişimlerin oranını içerir."
337,"TR,DF_COCUKLARDA_BILISIM_TEKNOLOJILERI_T2,1.0","Proportion of regular use of ICT by sex, age group and average daily usage time",Cinsiyet yaş grubu ve günlük ortalama kullanım sürelerine göre düzenli bilişim teknolojileri kullanım oranı
338,"TR,DF_ADNKS_T09,1.1",Province of civil registration by province of residence,"Tablo, 2008 yılından itibaren yıllık olarak ikamet edilen il ve nüfus kütüğüne kayıtlı olunan ile göre nüfus bilgisini içermektedir. Tabloda yabancı uyruklu nüfus kapsama alınmamıştır."
339,"TR,DF_TURKIYE_OECD_KARSILASTIRMALI_SGP_GOSTERGE_V3,1.0",Purchasing Power Parity Indicators in Türkiye within the Framework of the Comparisons for OECD Countries,"OECD ülkelerine yönelik karşılaştırmalar çerçevesinde, Türkiye'de Satınalma Gücü Paritesi göstergelerini sunmaktadır."
340,"TR,DF_ULKELER_SGP_DEGERLERI,1.0",Purchasing Power Parity by Countries,Ülkeler itibarıyla Satınalma Gücü Paritesi değerlerini sunmaktadır.
341,"TR,DF_COCUKLARAD_BILISIM_TEKNOLOJILERI_T5,1.0",Purposes of phone usage of children who use mobile phone/smartphone regularly by sex and age group,Cinsiyete ve yaş grubuna göre düzenli cep telefonu/akıllı telefon kullanan çocukların telefonu kullanım amaçları
342,"TR,DF_ISGUCU_CEYREK_IDO_NEDEN_C,1.0",Reasons Of Not Being In Labour Force,"İşgücüne dahil olmayan nüfusun işgücüne dahil olmama nedenlerine göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
343,"TR,DF_BOLGESEL_FIYAT_DUZEYI_GENEL_V1,1.0",Regional Price Level Indices for Consumption Expenditures,İstatistiki bölgelere göre tüketim harcamaları geneline ilişkin fiyat düzeyi endekslerini sunmaktadır.
344,"TR,DF_BOLGESEL_FIYAT_DUZEYI_TUKETIM_ANA_GRUPLAR_V1,1.0",Regional Price Level Indices for the Main Groups of Consumption Expenditures,Tüketim harcamalarının ana gruplarının bölgesel düzeydeki fiyat seviyelerini ölçen karşılaştırmalı endeksleri sunmaktadır.
345,"TR,DF_BOLGESEL_SGP_TUKETIM_ANA_GRUPLAR_V1,1.0",Regional Purchasing Power Parities for the Main Groups of Consumption Expenditures,"Bölgeler arasında, tüketim harcamalarının ana grupları itibarıyla satın alma gücü farklarını gösteren karşılaştırma katsayıları sunmaktadır."
346,"TR,UH_BH_GSYH_CARI,1.0",Regional gross domestic product (at current prices),"A3 ve A10 ekonomik faaliyet kırılımında İBBS-1, İBBS-2 ve İBBS-3 düzeyinde TL ve ABD doları cinsinden cari fiyatlarla GSYH değerlerinin yer aldığı tablodur."
347,"TR,UH_BH_GSYH_HACIM,1.0",Regional gross domestic product (with chain linked volume index),"A10 ekonomik faaliyet kırılımında İBBS-1, İBBS-2 ve İBBS-3 düzeyinde zincirlenmiş hacim endeksine göre GSYH ve endeks değerleri ile yüzde değişiminin yer aldığı tablodur."
348,"TR,DF_UH_BH_KISI_BASI,1.0",Regional gross domestic product per capita,"İBBS-1, İBBS-2 ve İBBS-3 düzeyinde TL ve ABD doları cinsinden kişi başına GSYH değerlerinin yer aldığı tablodur."
349,"TR,DF_UH_BH_KB_ENDEKS,1.0",Regional gross domestic product per capita index (at current prices) [TR=100],"TR=100 kabul edildiğinde İBBS-1, İBBS-2 ve İBBS-3 düzeyinde cari fiyatlarla kişi başına GSYH endeks değerlerinin yer aldığı tablodur."
350,"TR,DF_SATIS_SEKLI_SATIS_DURUMU_V3,1.0",Sales by State and Type (Türkiye),Satış Durumuna ve Satış Şekline Göre Satış Sayıları (Türkiye)
351,"TR,DF_SATIS_SEKLI_DURUMU_ILILCE_V3,1.0",Sales by State and Type (by provinces),Satış Durumuna ve Satış Şekline Göre Satış Sayıları (İl)
352,"TR,DF_YABANCILARA_SATIS_V3,1.0",Sales to Foreigners (Türkiye),Yabancılara Yapılan Satış Sayıları (Türkiye)
353,"TR,DF_YABANCILARA_SATILAR_ILILCE_V3,1.0",Sales to Foreigners (by provinces and districts),Yabancılara Yapılan Satış Sayıları (İl/İlçe)
354,"TR,DF_UYRUKLARA_GORE_SATISLAR_V3,1.0",Sales to Foreigners by Nationalities (Türkiye),Ülke Uyruklarına Göre Yabancılara Yapılan Satış Sayıları (Türkiye)
355,"TR,DF_UYRUKLARA_GORE_ILILCE_V3,1.0",Sales to Foreigners by Nationalities (by provinces and districts),Ülke Uyruklarına Göre Yabancılara Yapılan Satış Sayıları (İl/İlçe)
356,"TR,DF_MUHTEMEL_EGIITIM_SURE_CINSIYET_EGITIM_SURE,1.0",School life expectancy by sex and level of education,Cinsiyete ve eğitim seviyesine göre muhtemel eğitim süresini içerir.
357,"TR,DF_MUHTEMEL_EGITIM_SURE_ISCED_0,1.0","School life expectancy by sex and provinces, ISCED 0 (pre-primary education)","İllere ve cinsiyete göre muhtemel eğitim süresi, ISCED 0 (okul öncesi eğitim) verilerini içerir."
358,"TR,DF_MUHTEMEL_EGITIM_SURE_ISCED1_3,1.0","School life expectancy by sex and provinces, ISCED 1-3","İllere ve cinsiyete göre muhtemel eğitim süresi, ISCED 1-3 (ilkokul - ortaöğretim) verilerini içerir."
359,"TR,DF_MUHTEMEL_EGITIM_SURE_ISCED_1_8,1.0","School life expectancy by sex and provinces, ISCED 1-8 (primary to tertiary)","İllere ve cinsiyete göre muhtemel eğitim süresi, ISCED 1-8 (ilkokul - yükseköğretim) verilerini içerir."
360,"TR,DF_TUFE_SDMX_TT05,1.0",Seasonal adjusted CPI indicators,Mevsim etkisinden arındırılmış TÜFE göstergeleri
361,"TR,DF_MEVSIM_TAKVIM_V3,1.0",Seasonally and Calendar Adjusted Sales,Mevsim ve Takvim Etkilerinden Arındırılmış Satış Sayıları
362,"TR,DF_UH_BH_PAY_SEKTOREL,1.0",Sectoral share of gross domestic product (%),"A3 ve A10 ekonomik faaliyet kırılımında sektörlerin bölge GSYH’si içindeki paylarını verir. İBBS-1, İBBS-2 ve İBBS-3 düzeyinde mevcuttur."
363,"TR,DF_HIZMET_URETIM_ENDEKS_C,1.0",Services Production Index and Percentage Change [2021=100],Hizmet Üretim Endeksi ve Değişim Oranları [2021=100]
364,"TR,DF_HIZMET_URETIM_ENDEKS_O,1.0",Services Production Index and Percentage Change [2021=100]-Revision History,Hizmet Üretim Endeksi ve Değişim Oranları [2021=100] - Revizyon Geçmişi
365,"TR,DF_HUFE_EDO_V1,1.0",Services producer price index and rate of change [2017=100],Hizmet Üretici Fiyat Endeksi ve Değişim Oranları [2017=100]
366,"TR,DF_ADNKS_T31,1.1",Sex ratio by age group,"Tablo, 2007 yılından itibaren Türkiye toplamı için yaş grubuna göre cinsiyet oranı bilgisini içermektedir. Yaş grupları beşli şekilde 90+'ya kadar verilmiştir. Cinsiyet oranı, her 100 kadın başına düşen erkek sayısı olarak tanımlanmaktadır."
367,"TR,DF_CINSIYETE_GORE_SATISLAR_V3,1.0",Share of Annual Sales by Gender (%),Yıllık Satışların Cinsiyete Göre Payları (%)
368,"TR,DF_UH_BH_PAY_BOLGESEL,1.0",Share of the regions by sectors (%),"A3 ve A10 ekonomik faaliyet kırılımında bölgelerin Türkiye toplamı içindeki paylarını verir. İBBS-1, İBBS-2 ve İBBS-3 düzeyinde mevcuttur."
369,"TR,DF_EVLENME_ERKKAD_YASGR,1.0",Spouses by Age Group,Yıllar itibarıyla karşılıklı yaş grubuna göre evlenme sayısıdır.
370,"TR,DF_EVLENME_YAS_GR_ESMEDENI,1.0",Spouses by Age Group and Previous Marital Status of Spouse,Yıllar itibarıyla yaş grubu ve evlendiği kişinin önceki medeni durumuna göre evlenme sayısıdır.
371,"TR,DF_EVLENME_KARSILIKLI_YASGR_IL,1.0","Spouses by Age Group, by Provinces",Yıllar itibarıyla il düzeyinde karşılıklı yaş grubuna göre evlenme sayısıdır.
372,"TR,DF_EVLENME_YASGR_ESMEDENI_IL,1.0","Spouses by Province, Age Group and Previous Marital Status of Spouse","Yıllar itibarıyla il, yaş grubu ve evlendiği kişinin önceki medeni durumuna göre evlenme sayısıdır."
373,"TR,DF_ISGUCU_AYLIK_TAMAMLAYICI_GOSTERGE_C,1.0",Supplementary Indicators for Labour Force,"Türkiye’de cinsiyet düzeyinde 15+ yaş grubu için aylık işgücüne ilişkin tamamlayıcı göstergeleri (işsizlik oranı, zamana bağlı eksik istihdam ve işsizlerin bütünleşik oranı, işsiz ve potansiyel işgücünün bütünleşik oranı, atıl işgücü oranı) sunmaktadır."
374,"TR,DF_ISGUCU_CEYREK_TAMAMLAYICI_GOSTERGE_C,1.0",Supplementary Indicators for Labour Force,"15 ve üzeri yaş grubuna ait işgücüne ilişkin tamamlayıcı göstergeler (işsizlik oranı, zamana bağlı eksik istihdam ve işsizlerin bütünleşik oranı, işsizler ve potansiyel işgücünün bütünleşik oranı ile atıl işgücü oranı) cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
375,"TR,DF_ISGUCU_AYLIK_TAMAMLAYICI_GOSTERGE_O,1.0",Supplementary Indicators for Labour Force-Revision History,"Türkiye’de cinsiyet düzeyinde 15+ yaş grubu için aylık işgücüne ilişkin tamamlayıcı göstergeleri (işsizlik oranı, zamana bağlı eksik istihdam ve işsizlerin bütünleşik oranı, işsiz ve potansiyel işgücünün bütünleşik oranı, atıl işgücü oranı) sunmaktadır."
376,"TR,DF_ISGUCU_CEYREK_TAMAMLAYICI_GOSTERGE_O,1.0",Supplementary Indicators for Labour Force-Revision History,"Türkiye’de cinsiyet düzeyinde 15+ yaş grubu için aylık işgücüne ilişkin tamamlayıcı göstergeleri (işsizlik oranı, zamana bağlı eksik istihdam ve işsizlerin bütünleşik oranı, işsiz ve potansiyel işgücünün bütünleşik oranı, atıl işgücü oranı) sunmaktadır."
377,"TR,DF_BD_HAYATTA_KALMA,1.2",Survival indicators of enterprises,Girişimlerin hayatta kalma göstergeleridir.
378,"TR,DF_GENEL_DEVLET_VERGI_SOSYAL_KATKI_1,1.0",Tax and Social Contribution Receipts of General Government,"Genel devletin üretim, ithalat, gelir, sermaye üzerinden elde ettiği vergi ve sosyal katkı gelirlerinin türlerine göre sınıflandırılmasını ifade eder."
379,"TR,DF_DIS_TICARET_HADLERI_V1,1.0",Terms of Trade,Dış Ticaret Hadleri
380,"TR,DF_ENERJISIZ_DTH,1.0",Terms of Trade Excluding Energy,Enerji Hariç Dış Ticaret Hadleri
381,"TR,DF_ALTINSIZ_DTH,1.0",Terms of Trade Excluding Gold,Altın Hariç Dış Ticaret Hadleri
382,"TR,DF_ALTINSIZ_ENERJISIZ_DTH,1.0",Terms of Trade Excluding Gold and Energy,Altın ve Enerji Hariç Dış Ticaret Hadleri
383,"TR,DF_SU_ATIKSU_BELEDIYE_CEKILEN_DAGITILAN_V1,1.0",The Amount of Abstracted Distributed Water and Discharged Wastewater by Municipalities (by Provinces),"Belediyeler tarafından çekilen, dağıtılan su miktarı ile deşarj edilen atıksu miktarına ilişkin istatistikleri sunmaktadır."
384,"TR,DF_DOGUM_DOGARA_ORTSURE_ANNEYASGR_C,1.0",The Average Duration Between the Mother's Last Two Births by Age Group of Mother (Year),Yıllar itibarıyla annenin yaş grubuna göre son iki doğumu arasındaki ortalama sürenin yıl cinsinden değeridir.
385,"TR,DF_DOGUM_DOGARA_ORTSURE_C,1.0",The Average Duration Between the Mother's Last Two Births by Provinces (Year),Yıllar itibarıyla annenin son iki doğumu arası ortalama sürenin yıl cinsinden değeridir.
386,"TR,DF_DOGUM_ARALIK_AY_C,1.0",The Birth Interval Between the Mother's Last Two Births (Month),Annenin son iki canlı doğumu arasındaki ortalama sürenin ay cinsinden yıllar itibarıyla değeridir.
387,"TR,DF_DOGUM_ARALIK_AY_ANNEYASGR_C,1.0",The Duration Between the Mother's Last Two Births by Age Group of Mother,Annenin yaş grubuna ve doğum sırasına göre son iki canlı doğumu arasındaki ortalama sürenin ay cinsinden yıllar itibarıyla değeridir.
388,"TR,DF_MOTORLU_KARA_TASIT_DEVRI_YAPILAN_V3,1.0",The Number of Road Motor Vehicles Handed Over by Months,Aylara göre devri yapılan motorlu kara taşıtları sayısını sunmaktadır.
389,"TR,DF_MOTORLU_KARA_TASIT_DEVRI_YAPILAN_IL_V3,1.0",The Number of Road Motor Vehicles Handed Over by Province,İllere Göre Devri Yapılan Motorlu Kara Taşıtları Sayısı
390,"TR,DF_MOTORLU_KARA_TASIT_KAYDI_V1,1.0",The Number of Road Motor Vehicles Registered and Withdrawn by Month and Year,Ay ve yıllara göre kaydı yapılan ve kaydı silinen motorlu kara taşıtları sayısını sunmaktadır.
391,"TR,DF_MOTORLU_KARA_TASIT_ILLER_V3,1.0",The Number of Road Motor Vehicles by Province,İllere göre motorlu kara taşıtları sayısını sunmaktadır.
392,"TR,DF_MOTORLU_KARA_TASIT_YIL_V3,1.0",The Number of Road Motor Vehicles by Years,Yıllara göre motorlu kara taşıtları sayısını sunmaktadır.
393,"TR,DF_ADNKS_T33,1.1",The most used female names by the year of birth and order in the first hundred names,"Tabloda, 31 Aralık tarihli ADNKS kayıtlarında yer alan ve halen hayatta olan kadınların doğdukları yıla göre isim sıralaması bilgisi verilmektedir. Tablo alfabetik olarak sıralanmıştır. Örnek: 2024 ADNKS kayıtlarına göre, 2000 doğumlu kadınlardan halen hayatta olanların isim sıralaması yapıldığında ilk sırada “Zeynep” ismi yer almaktadır. Aynı yıl için “Elif” ismi dördüncü sıradadır."
394,"TR,DF_ADNKS_T32,1.1",The most used male names by the year of birth and order in the first hundred names,"Tabloda, 31 Aralık tarihli ADNKS kayıtlarında yer alan ve halen hayatta olan erkeklerin doğdukları yıla göre isim sıralaması bilgisi verilmektedir. Tablo alfabetik olarak sıralanmıştır. Örnek: 2024 ADNKS kayıtlarına göre, 2000 doğumlu erkeklerden halen hayatta olanların isim sıralaması yapıldığında ilk sırada “Mehmet” ismi yer almaktadır. Aynı yıl için “Yusuf” ismi dördüncü sıradadır."
395,"TR,DF_BIYOTEKNOLOJI_FAALIYET_ENGEL,1.0",The number of barriers to biotechnological R&D activities,Biyoteknolojik Ar-Ge faaliyetleri önündeki engellerin sayısını içerir.
396,"TR,DF_BIYOTEKNOLOJI_TICARI_ENGEL,1.0",The number of barriers to the commercialization of biotechnology products,Biyoteknoloji ürünlerinin ticarileştirilmesinin önündeki engellerin sayısını içerir.
397,"TR,DF_BIYOTEKNOLOJI_IST_URUN_STRATEJI,1.0",The number of biotechnology products and strategies,Biyoteknoloji ürünlerinin ve stratejilerinin sayısını içerir.
398,"TR,DF_INTERNET_ERISIM_V1,1.0",The proportion of enterprises which  have ınternet access by economic activity and size group (Nace Rev 2 .1)(%),Ekonomik faaliyet ve büyüklük grubuna göre internet erişimine sahip olan girişimlerin oranı (Nace Rev 2 .1)(%)
399,"TR,DF_INTERNET_ERISIM,1.0",The proportion of enterprises which use computer and have ınternet access by economic activity and size group (%),Ekonomik faaliyet ve büyüklük grubuna göre bilgisayar kullanan ve internet erişimine sahip olan girişimlerin oranını içerir.
400,"TR,DF_FINANSAL_YATIRIM_ARAC_REEL_GETIRI,1.0",The rates of profits created by means of financial invesment (%),Finansal yatırım araçlarının yıllara göre dönemsel reel getiri oranları ile ilgili verileri kapsamaktadır.
401,"TR,DF_ATIK_TERMIK_SANTRALLER_V1,1.0",Thermal Power Plants Waste Statistics,Termik santrallerde oluşan atık miktarına ve atıkların yönetimine ilişkin istatistikleri sunmaktadır.
402,"TR,DF_DOGUM_KENTKIR_TDH_C,1.0",Total Fertility Rate by Province and Urban-Rural Classification,Yıllar itibarıyla il ve kent-kır sınıflamasına göre toplam doğurganlık hızıdır.
403,"TR,DF_DOGUM_IL_TDH_C,1.0",Total Fertility Rate by Provinces (Number of Children),Yıllar itibarıyla illere göre toplam doğurganlık hızıdır.
404,"TR,DF_DOGUM_ANNEEGT_TDH_C,1.0",Total Fertility Rate by Provinces and Mother's Educational Level,Yıllara itibarıyla il ve annenin eğitim durumuna göre toplam doğurganlık hızıdır.
405,"TR,DF_DNG_TDH,1.0",Total Fertility Rate by Selected Countries (Number of Children),Yıllar itibarıyla seçilmiş ülkelere göre toplam doğurganlık hızıdır.
406,"TR,DF_KUMES_HAYVANCILIK_KULUCKAHANE,1.0",Total Installed Capacity of Incubators,Kuluçkahane Gelişim Makinelerinin Toplam Kurulu Kapasitesi
407,"TR,DF_DNG_NUFUS_ORAN,1.0","Total Population, Child, Youth, Elderly Population and Proportion by Selected Countries","Yıllar itibarıyla seçilmiş ülkelere göre toplam nüfus, çocuk, genç ve yaşlı nüfus ve oranlarıdır."
408,"TR,DF_UFE_SANAYI_V2,1.0",Total Producer Price Index (DPPI + FPPI) and Change Rates [2010=100],Toplam Üretici Fiyat Endeksi (Yİ-ÜFE + YD-ÜFE) ve Değişim Oranları [2010=100]
409,"TR,DF_TICARET_SATIS_HACIM_ENDEKS_C,1.0",Trade Sales Volume Index [2021=100],Ticaret Satış Hacim Endeksi [2021=100]
410,"TR,DF_TICARET_SATIS_HACIM_ENDEKS_O,1.0",Trade Sales Volume Index [2021=100]-Revision History,Ticaret Satış Hacim Endeksi [2021=100]-Revizyon Geçmişi
411,"TR,DF_CIRO_ENDEKS_DEGISIM_C,1.0",Turnover Indices and Percentage Change [2021=100],Ciro Endeksleri ve Değişim Oranları [2021=100]
412,"TR,DF_CIRO_ENDEKS_DEGISIM_O,1.0",Turnover Indices and Percentage Change [2021=100]-Revision History,Ciro Endeksleri ve Değişim Oranları [2021=100]-Revizyon Geçmişi
413,"TR,DF_YAPISAL_MMIGSYH,1.0",Types of Gross Investment Expenditures on Tangible Assets by Years,Yıllara Göre Maddi Mallara İlişkin Gayri Safi Yatırım Harcama Türleri
414,"TR,DF_ISGUCU_CEYREK_ISARAMA_SURE_ISSIZ_C,1.0",Unemployed By Duration Of Unemployment,"İşsizlerin iş arama sürelerine göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
415,"TR,DF_ISGUCU_CEYREK_ISARAMA_KANAL_ISSIZ_C,1.0",Unemployment By Job Search Methods,"İşsizlerin iş aradıkları kanallara göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
416,"TR,DF_ISGUCU_CEYREK_ARANILAN_MESLEK_ISSIZ_C,1.0",Unemployment By Occupational Group,"İşsizlerin aradıkları meslek gruplarına göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
417,"TR,DF_ISGUCU_CEYREK_ONCEKI_SEKTOR_ISSIZ_C,1.0",Unemployment By Sector Of Previously Employed,"İşsizlerin daha önce çalıştıkları sektöre göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
418,"TR,DF_MOTORLU_KARA_TASIT_IBBS_YIL_V2,1.0",Vehicle Types and Number of Road Motor Vehicles by SR Level 1,İstatistiki Bölge Birimleri Sınıflaması 1. düzeye göre yıl bazında ve il bazında taşıt türleri ve motorlu kara taşıtları sayısını sunmaktadır.
419,"TR,DF_TASIT_KILOMETRE_TASIT_CINS_V2,1.0",Vehicle-kilometer Statistics by Vehicle Type,Taşıt cinsine göre taşıt-kilometre istatistiklerini sunmaktadır.
420,"TR,DF_TASIT_KILOMETRE_YIL_V2,1.0",Vehicle-kilometer Statistics by Years,Yıllara göre Taşıt-kilometre İstatistiklerini sunmaktadır.
421,"TR,DF_TASIT_KILOMETRE_YAS_GRUP_V2,1.0",Vehicle-kilometer by Vehicle Type and Age Group,Taşıt cinsi ve yaş gruplarına göre taşıt-kilometre istatistiklerini sunmaktadır.
422,"TR,DF_ATIK_BERTARAF_GERI_KAZANIM_TESIS_V1,1.0",Waste Disposal and Recovery Facilities Statistics,"Atık bertaraf ve geri kazanımın tesislerinin sayısı, kapasitesi türü ve tesislerde işlenen atık miktarlarına ilişkin istatistikleri sunmaktadır."
423,"TR,DF_ATIK_IMALAT_SANAYI_ALT_SEKTORLER_V1,1.0",Waste Statistics of Manufacturing Industry Sub-Sectors,NACE faaliyet sınıflamasına göre İmalat sanayi alt sektörlerinde oluşan atık miktarlarına ilişkin istatistikleri sunmaktadır.
424,"TR,DF_SU_ATIKSU_ENDUSTRIYEL_SEKTOR_KOY_MIKTAR_V1,1.0",Wastewater Generated by Industrial Sectors and Villages,"Endüstriyel sektörlerde ve köylerde oluşan, doğrudan alıcı ortama ve şebekelere deşarj edilen atıksu miktarına ilişkin istatistikleri sunmaktadır."
425,"TR,DF_SU_ATIKSU_ARITMA_TESIS_V1,1.0",Wastewater Treatment Plant Statistics,"Endüstriyel sektörler ve belediyelere ait atıksu arıtma tesislerine ilişkin istatistikleri arıtma tipi, kapasitesi ve arıtılan atıksu miktarı detayında sunmaktadır."
426,"TR,DF_SU_ATIKSU_BELEDIYE_ICMESUYU_SEBEKE_V1,1.0",Water Abstraction for Municipal Water Supply Network,Belediye İçme ve kullanma suyu şebekesi için çekilen su miktarını su kaynakları ve Türkiye bazında tüm yıllar için zaman serisi olarak sunmaktadır.
427,"TR,DF_SU_ATIKSU_IMALAT_SANAYI_ALT_SEKTOR_V1,1.0",Water and Wastewater Statistics of Manufacturing Industry Sub-Sectors,NACE faaliyet sınıflamasına göre imalat sanayi alt sektörlerine ilişkin su ve atıksu göstergelerini Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır.
428,"TR,DF_TUFE_SDMX_TT08,1.0",Weights by main expenditure groups,Ana grup ağırlıkları
429,"TR,DF_ISGUCU_CEYREK_NEET_YAS_GRUP_C,1.0",Young People Neither İn Employment Nor İn Education Or Training By Age Groups,"İşsiz veya işgücüne dâhil olmayan ve aynı zamanda eğitime devam etmeyen genç nüfusun dağılımı, cinsiyet ve yaş grubu kırılımında çeyreklik olarak sunulmaktadır."
430,"TR,DF_GENC_NUFUS_OKURYAZARLIK_ORAN,1.0",Youth literacy rate of persons by sex,Cinsiyete göre genç nüfus okuryazarlık oranı ile ilgili verileri içerir.
431,"TR,DF_SANAYI_URETIM_ENDEKS_ETKI_O,1.0",l Production Index Impact [2021=100]-Revision History,Sanayi Üretim Endeksi Etki [2021=100]
